Zeitstempel,In welchem Beschäftigungsverhältnis befindest Du Dich?,Wie gut kennst Du Dich bereits mit dieser Technologie aus?,Hast Du VR/AR bereits privat benutzt?,Wie oft nutzt Du die Technologie in der Woche?,Wofür benutzt Du die VR/AR privat?  ,Wie siehst Du die Zukunft von VR/AR im Bereich der privaten Unterhaltung?,"Falls Du privat an einem VR/AR Projekt entwickelt hast, beschreibe kurz worum es sich handelt. (optional)","Falls Du privat an einem VR/AR Projekt entwickelt hast, wie war die Erfahrung mit VR/AR?",Welche Faktoren beeinflussen die Nutzung von VR/AR im privaten Bereich?,Hast Du VR/AR bereits beruflich genutzt?,Hast Du VR/AR bereits beruflich genutzt?,Wie stark wärst Du an einem beruflichen Einsatz von VR/AR interessiert?,"Wie stark wärst Du an einem privaten Einsatz von VR/AR interessiert, zum Beispiel zum Spielen?",Welche Faktoren beeinflussen die Nutzung von VR/AR im privaten Bereich?,Wie siehst Du die Zukunft von VR/AR im Bereich der privaten Unterhaltung?,Denkst Du ein Einsatz von VR/AR kann Dich in deinem Arbeitsgebiet unterstützen?,In welchem beruflichen Bereich könnte Dich VR/AR unterstützen? (optional),Welche Technologie hast Du bereits verwendet? (Mehrfachauswahl möglich),In welchem Kontext wurde VR/AR eingesetzt? (Mehrfachauswahl möglich),Wie oft nutzt Du die Technolgie in der Woche?,Wie stark hast Du Dich durch diese Technologien unterstützt gefühlt?,Wie stark hast Du Dich durch diese Technologien produktiv gefühlt?,Welche Anwendungsfälle von VR/AR sind Deiner Meinung nach am vielversprechendsten/interessantesten in Beruf/Ausbildung/Studium?,"Falls Du verantwortlich für die Nutzung von VR/AR bist, welche Faktoren beeinflussen die Nutzung von VR/AR in Beruf/Ausbildung/Studium?",Inwiefern hat die Corona-Pandemie die Nutzung von VR/AR im Beruf/Ausbildung/Studium beeinflusst?,Wie zufrieden bist Du mit der aktuellen Entwicklung von VR/AR im Beruf/Ausbildung/Studium?,Bevorzugst Du einen häufigeren Einsatz von VR/AR in Beruf/Ausbildung/Studium?,Welche technischen Fortschritte wünschen Sie sich für die Zukunft von VR/AR in Beruf/Ausbildung/Studium?,Wie können Unternehmen oder Bildungseinrichtungen die Nutzung von VR/AR in Beruf/Ausbildung/Studium fördern?,Wie siehst Du die Zukunft von VR/AR in Beruf/Ausbildung/Studium?,Wie würdest Du insgesamt die Erfahrung mit AR/VR-Technologien bewerten?,"Wie wahrscheinlich ist es, dass Du die VR/AR-Technologie weiterempfiehlst?","(Optional) Beschreibe kurz stichpunktartig Herausforderungen oder Probleme, die beim Einsatz aufgetreten sind.","(Optional) Beschreibe kurz stichpunktartig positive Effekte, die beim Einsatz aufgetreten sind.",(Optional) In wenigen Worten. Was für eine Anwendung ist das im beruflichen Kontext gewesen?
10.03.2023 12:28:23,Ausbilder,4,Ja,Weniger als einmal in der Woche,Architektur Programm,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,,,,Ja,,,,,,,,"Virtual Reality, Augmented Reality, Mixed Reality","Bildung/Lehre, Simulation/Training",Weniger als einmal in der Woche,4,4,"Virtuelles Training von Arbeitsprozessen, Simulation von Gefahrensituationen, Virtuelle Zusammenarbeit und Meetings","Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,3,Nein,"Verbesserte Interaktion und Haptik, Größere Vielfalt an Anwendungen",Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,4,4,Das Kosten- und Nutzen- verhältnis stimmt noch nicht,,Simulation zu HV-Technik 
20.03.2023 15:13:33,Duales Studium,2,Nein,,,,,,,,Nein,3,3,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
20.03.2023 15:14:08,Duales Studium,3,Nein,,,,,,,,Nein,4,5,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
20.03.2023 15:16:02,Duales Studium,4,Ja,Weniger als einmal in der Woche,"Spielen, Videos - z.B. Architektur",VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,,,,Nein,,4,5,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
20.03.2023 15:16:36,Duales Studium,3,Nein,,,,,,,,Nein,4,5,,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Nein,,,,,,,,,,,,,,,,,,,
20.03.2023 15:18:35,Duales Studium,3,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,,,Nein,,4,4,,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Nein,,,,,,,,,,,,,,,,,,,
20.03.2023 15:18:55,Duales Studium,2,Nein,,,,,,,,Nein,4,5,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,"Graphische Umsetzung, Räumliches Denken, Sortieren von Sachen (Personenspezifisch)",,,,,,,,,,,,,,,,,,
20.03.2023 20:57:02,Duales Studium,2,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,,,,Nein,,2,4,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
21.03.2023 07:33:35,Duales Studium,2,Nein,,,,,,,,Nein,4,4,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
21.03.2023 11:01:51,Duales Studium,5,Ja,Mehrere Male in der Woche,"Spielen, Entwickeln",VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Physikprojekt Simulation,4,,Ja,,,,,,,,"Virtual Reality, Augmented Reality, Mixed Reality","Entwicklung/Forschung, Bildung/Lehre, Simulation/Training",Weniger als einmal in der Woche,4,4,"Virtuelles Training von Arbeitsprozessen, Simulation von Gefahrensituationen, Interaktive Präsentation von Produktion und Dienstleistungen, Virtuelle Zusammenarbeit und Meetings","Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,2,Ja,"Verbesserte Bildqualität, Verbesserte Interaktion und Haptik, Einfachere Bedienung, Größere Vielfalt an Anwendungen","Bereitstellung von Schulungen zur richtigen Nutzung von VR/AR, Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne, Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern",VR/AR wird in Zukunft in allen Bereichen des Berufslebens eingesetzt werden,5,5,,,
21.03.2023 11:39:31,Ausbildung,2,Nein,,,,,,,,Nein,3,4,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
21.03.2023 12:08:00,Duales Studium,1,Nein,,,,,,,,Nein,3,4,,VR/AR wird in Zukunft keine Rolle im Berufsleben spielen,Nein,,,,,,,,,,,,,,,,,,,
21.03.2023 15:08:32,Ausbildung,1,Nein,,,,,,,,Nein,3,4,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Ja,,,,,,,,,,,,,,,,,,,
21.03.2023 18:14:48,Duales Studium,2,Nein,,,,,,,,Nein,3,1,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
22.03.2023 09:34:17,Duales Studium,1,Nein,,,,,,,,Nein,1,1,,VR/AR wird in Zukunft keine Rolle im Berufsleben spielen,Nein,,,,,,,,,,,,,,,,,,,
22.03.2023 09:37:13,Duales Studium,2,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,,,Nein,,3,3,,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Ja,,,,,,,,,,,,,,,,,,,
22.03.2023 09:39:52,Duales Studium,3,Nein,,,,,,,,Nein,4,4,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
22.03.2023 09:41:07,Duales Studium,1,Nein,,,,,,,,Nein,3,2,,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,Online-Meetings evtl,,,,,,,,,,,,,,,,,,
22.03.2023 09:57:58,Duales Studium,3,Ja,Weniger als einmal in der Woche,Entwickeln,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,,,,Ja,,,,,,,,Augmented Reality,Produktion,Weniger als einmal in der Woche,4,3,Interaktive Präsentation von Produktion und Dienstleistungen,Kosten für Hardware und Software,Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,1,Nein,Verbesserte Interaktion und Haptik,Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,3,3,,,
22.03.2023 10:51:45,Duales Studium,4,Ja,Weniger als einmal in der Woche,Entwickeln,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Lernen mithilfe von VR,4,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",Ja,,,,,,,,"Virtual Reality, Augmented Reality","Entwicklung/Forschung, Bildung/Lehre",Weniger als einmal in der Woche,4,4,"Virtuelles Training von Arbeitsprozessen, Simulation von Gefahrensituationen, Interaktive Präsentation von Produktion und Dienstleistungen, Virtuelle Zusammenarbeit und Meetings","Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung, Datenschutz- und Sicherheitsbedenken",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,3,Ja,"Verbesserte Interaktion und Haptik, Einfachere Bedienung, Größere Vielfalt an Anwendungen","Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne, Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern",VR/AR wird in Zukunft in allen Bereichen des Berufslebens eingesetzt werden,4,4,,,
22.03.2023 11:55:33,Ausbilder,1,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,,Kosten für Hardware und Software,Nein,,4,5,Kosten für Hardware und Software,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Nein,,,,,,,,,,,,,,,,,,,
23.03.2023 09:44:33,Duales Studium,4,Nein,,,,,,,,Nein,4,4,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
24.03.2023 17:40:37,Duales Studium,2,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Datenschutz- und Sicherheitsbedenken",Nein,,5,5,Kosten für Hardware und Software,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Nein,,,,,,,,,,,,,,,,,,,
24.03.2023 17:47:25,Duales Studium,3,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,,Kosten für Hardware und Software,Nein,,4,4,Kosten für Hardware und Software,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Ja,,,,,,,,,,,,,,,,,,,
24.03.2023 18:16:10,Duales Studium,2,Nein,,,,,,,,Nein,4,3,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Datenschutz- und Sicherheitsbedenken",VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Ja,,,,,,,,,,,,,,,,,,,
24.03.2023 18:38:59,Duales Studium,2,Nein,,,,,,,,Nein,4,3,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Ja,,,,,,,,,,,,,,,,,,,
24.03.2023 19:25:14,Duales Studium,1,Nein,,,,,,,,Nein,3,2,Verfügbarkeit von geeigneten Anwendungen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Nein,,,,,,,,,,,,,,,,,,,
24.03.2023 19:26:47,Duales Studium,2,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,,,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",Nein,,4,5,Kosten für Hardware und Software,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Ja,,,,,,,,,,,,,,,,,,,
24.03.2023 22:29:30,Duales Studium,2,Nein,,,,,,,,Nein,5,5,Kosten für Hardware und Software,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Ja,,,,,,,,,,,,,,,,,,,
27.03.2023 10:14:40,Ausbildung,3,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,,,Kosten für Hardware und Software,Nein,,3,3,Akzeptanz und Nutzerbewertung,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
27.03.2023 14:22:29,Ausbilder,1,Nein,,,,,,,,Nein,2,1,Ich lebe in der realen Realität,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,Virtuelle Arbeitsplatzbesichtigung ,,,,,,,,,,,,,,,,,,
31.03.2023 09:00:35,Auszubildender,2,Ja,Fast jeden Tag,Spielen,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,,,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Ja,,,,,,,,Virtual Reality,"Produktion, Entwicklung/Forschung",Mehrere Male in der Woche,4,3,"Interaktive Präsentation von Produktion und Dienstleistungen, Virtuelle Zusammenarbeit und Meetings","Kosten für Hardware und Software, Akzeptanz und Nutzerbewertung",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,2,Ja,Einfachere Bedienung,Bereitstellung von Schulungen zur richtigen Nutzung von VR/AR,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,4,4,,,
31.03.2023 09:22:28,Auszubildender,2,Nein,,,,,,,,Nein,4,2,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Datenschutz- und Sicherheitsbedenken",VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Ja,,,,,,,,,,,,,,,,,,,
31.03.2023 09:23:48,Auszubildender,3,Nein,,,,,,,,Nein,1,1,Nicht erwünscht,VR/AR wird in Zukunft keine Rolle der Unterhaltung spielen,Nein,,,,,,,,,,,,,,,,,,,
31.03.2023 09:31:20,Azubi,2,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",Nein,,5,4,Kosten für Hardware und Software,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Ja,,,,,,,,,,,,,,,,,,,
01.04.2023 16:40:35,Azubi,1,Nein,,,,,,,,Nein,5,4,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Ja,Beim Schweißen,,,,,,,,,,,,,,,,,,
01.04.2023 16:42:26,Azubi,4,Ja,Einmal in der Woche,Spielen,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,,,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Ja,,,,,,,,"Virtual Reality, Augmented Reality","Bildung/Lehre, Simulation/Training",Mehrere Male in der Woche,5,4,"Virtuelles Training von Arbeitsprozessen, Simulation von Gefahrensituationen","Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Ich nutze VR/AR seit der Pandemie häufiger,5,Ja,"Verbesserte Interaktion und Haptik, Einfachere Bedienung, Größere Vielfalt an Anwendungen","Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne, Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern",VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,5,4,,,
01.04.2023 16:43:44,Azubi,3,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Ja,,,,,,,,"Virtual Reality, Augmented Reality","Bildung/Lehre, Simulation/Training",Mehrere Male in der Woche,4,5,Virtuelle Zusammenarbeit und Meetings,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,4,Ja,"Verbesserte Interaktion und Haptik, Einfachere Bedienung",Bereitstellung von Schulungen zur richtigen Nutzung von VR/AR,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,5,5,,,
01.04.2023 16:48:10,Azubi,2,Nein,,,,,,,,Ja,,,,,,,Augmented Reality,Marketing/Vertrieb,Einmal in der Woche,5,4,"Virtuelles Training von Arbeitsprozessen, Simulation von Gefahrensituationen","Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,4,Ja,"Verbesserte Bildqualität, Verbesserte Interaktion und Haptik",Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,5,5,,,
01.04.2023 16:49:07,Azubi,5,Ja,Mehrere Male in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",Ja,,,,,,,,Virtual Reality,"Produktion, Bildung/Lehre",Mehrere Male in der Woche,4,5,Virtuelles Training von Arbeitsprozessen,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,5,Ja,"Verbesserte Bildqualität, Verbesserte Interaktion und Haptik, Einfachere Bedienung",Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,5,4,,,
01.04.2023 16:51:24,Azubi,4,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,5,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung, Datenschutz- und Sicherheitsbedenken",Ja,,,,,,,,"Virtual Reality, Augmented Reality","Marketing/Vertrieb, Entwicklung/Forschung",Mehrere Male in der Woche,5,5,"Virtuelles Training von Arbeitsprozessen, Simulation von Gefahrensituationen","Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Ich nutze VR/AR seit der Pandemie häufiger,5,Ja,Verbesserte Bildqualität,Bereitstellung von Schulungen zur richtigen Nutzung von VR/AR,VR/AR wird in Zukunft in allen Bereichen des Berufslebens eingesetzt werden,5,5,,,
01.04.2023 16:53:50,Azubi,4,Ja,Mehrere Male in der Woche,Spielen,VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,,5,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Ja,,,,,,,,"Virtual Reality, Augmented Reality","Marketing/Vertrieb, Entwicklung/Forschung",Mehrere Male in der Woche,5,5,"Simulation von Gefahrensituationen, Interaktive Präsentation von Produktion und Dienstleistungen","Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,5,Ja,Einfachere Bedienung,Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,5,4,,,
01.04.2023 16:54:57,Azubi,4,Nein,,,,,,,,Ja,,,,,,,Virtual Reality,"Produktion, Bildung/Lehre, Simulation/Training",Mehrere Male in der Woche,5,4,"Virtuelles Training von Arbeitsprozessen, Interaktive Präsentation von Produktion und Dienstleistungen","Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,4,Ja,"Verbesserte Bildqualität, Verbesserte Interaktion und Haptik, Einfachere Bedienung",Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,5,4,,,
01.04.2023 16:58:25,Azubi,3,Nein,,,,,,,,Ja,,,,,,,"Virtual Reality, Augmented Reality","Produktion, Bildung/Lehre",Mehrere Male in der Woche,2,3,"Virtuelles Training von Arbeitsprozessen, Simulation von Gefahrensituationen, Interaktive Präsentation von Produktion und Dienstleistungen","Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,3,Ja,Verbesserte Interaktion und Haptik,"Bereitstellung von Schulungen zur richtigen Nutzung von VR/AR, Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne",VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,2,2,,,
01.04.2023 17:01:38,Azubi,2,Nein,,,,,,,,Ja,,,,,,,"Virtual Reality, Augmented Reality","Entwicklung/Forschung, Bildung/Lehre, Simulation/Training",Mehrere Male in der Woche,3,2,"Simulation von Gefahrensituationen, Interaktive Präsentation von Produktion und Dienstleistungen",Kosten für Hardware und Software,Die Pandemie hatte keinen EInfluss auf meine Nutzung von VR/AR,2,Nein,"Verbesserte Bildqualität, Einfachere Bedienung",Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,2,2,,,
01.04.2023 17:02:36,Azubi,3,Nein,,,,,,,,Nein,5,3,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen, Akzeptanz und Nutzerbewertung",VR/AR wird in Zukunft in allen Bereichen der Unterhaltung eine Rolle spielen,Ja,,,,,,,,,,,,,,,,,,,
01.04.2023 17:05:20,Azubi,1,Nein,,,,,,,,Nein,2,3,Kosten für Hardware und Software,VR/AR wird in Zukunft keine Rolle der Unterhaltung spielen,Ja,,,,,,,,,,,,,,,,,,,
01.04.2023 17:06:20,Azubi,4,Ja,Weniger als einmal in der Woche,Spielen,VR/AR wird in Zukunft keine Rolle in der Unterhaltung spielen,,2,Akzeptanz und Nutzerbewertung,Ja,,,,,,,,"Augmented Reality, Mixed Reality","Marketing/Vertrieb, Entwicklung/Forschung",Mehrere Male in der Woche,2,3,"Simulation von Gefahrensituationen, Interaktive Präsentation von Produktion und Dienstleistungen",Akzeptanz und Nutzerbewertung,Ich nutze VR/AR seit der Pandemie seltener,3,Ja,Einfachere Bedienung,Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne,VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden,2,2,,,
01.04.2023 17:07:29,Azubi,2,Nein,,,,,,,,Nein,1,2,"Kosten für Hardware und Software, Datenschutz- und Sicherheitsbedenken",VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
01.04.2023 17:07:53,Azubi,2,Nein,,,,,,,,Nein,3,4,Verfügbarkeit von geeigneten Anwendungen,VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Nein,,,,,,,,,,,,,,,,,,,
01.04.2023 18:05:20,Azubi,2,Nein,,,,,,,,Nein,3,2,"Kosten für Hardware und Software, Verfügbarkeit von geeigneten Anwendungen",VR/AR wird in einigen spezifischen Bereichen der Unterhaltung eingesetzt werden,Ja,,,,,,,,,,,,,,,,,,,